OBJECTS,,,,,,,
human,circus tent,amusement park,Images/Human/Human - Amusement Park/human_amusementpark_circustent_2014.jpeg,,,,
AI,ferris wheel,amusement park,Images/AI Generated/AI - Amusement Park/ai_amusementpark_ferriswheel.jpeg,,,,
human,fireworks,amusement park,Images/Human/Human - Amusement Park/human_amusementpark_fireworks_2013.jpeg,,,,
AI,funnel cake,amusement park,Images/AI Generated/AI - Amusement Park/ai_amusementpark_funnelcake.jpeg,,,,
human,ice cream cone,amusement park,Images/Human/Human - Amusement Park/human_amusementpark_icecreamcone_2017.jpeg,,,,
human,merry-go-round,amusement park,Images/Human/Human - Amusement Park/human_amusementpark_merrygoround_2013.jpeg,,,,
human,pinball machines,amusement park,Images/Human/Human - Amusement Park/human_amusementpark_pinballmachines_2017.jpeg,,,,
human,popcorn,amusement park,Images/Human/Human - Amusement Park/human_amusementpark_popcorn_2015.jpeg,,,,
AI,rollercoaster,amusement park,Images/AI Generated/AI - Amusement Park/ai_amusementpark_rollercoaster.jpeg,,,,
AI,waterslides,amusement park,Images/AI Generated/AI - Amusement Park/ai_amusementpark_waterslides.jpeg,,,,
AI,basket,picnic,Images/AI Generated/AI - Picnic/ai_picnic_basket.jpeg,,,,
AI,bench,picnic,Images/AI Generated/AI - Picnic/ai_picnic_bench.jpeg,,,,
AI,charcuterie,picnic,Images/AI Generated/AI - Picnic/ai_picnic_charcuterie.jpeg,,,,
AI,food spread,picnic,Images/AI Generated/AI - Picnic/ai_picnic_food.jpeg,,,,
human,marshmallow,picnic,Images/Human/Human - Picnic/human_picnic_marshmallow_2017.jpeg,,,,
human,popsicle,picnic,Images/Human/Human - Picnic/human_picnic_popsicle_2016.jpeg,,,,
human,skewers,picnic,Images/Human/Human - Picnic/human_picnic_skewers_2015.jpeg,,,,
human,smore,picnic,Images/Human/Human - Picnic/human_picnic_smores_2017.jpeg,,,,
AI,strawberries,picnic,Images/AI Generated/AI - Picnic/ai_picnic_strawberries.jpeg,,,,
AI,watermelon,picnic,Images/AI Generated/AI - Picnic/ai_picnic_watermelon.jpeg,,,,
AI,art,school,Images/AI Generated/AI - School/ai_school_art.jpg,,,,
AI,basketball,school,Images/AI Generated/AI - School/ai_school_basketball.jpg,,,,
human,bus,school,Images/Human/Human - School/human_school_bus_2017.jpg,,,,
human,cafeteria,school,Images/Human/Human - School/human_school_cafeteria_2015.jpg,,,,
human,chalkboard,school,Images/Human/Human - School/human_school_chalkboard_2014.jpg,,,,
AI,crayons,school,Images/AI Generated/AI - School/ai_school_crayons.jpg,,,,
AI,cube,school,Images/AI Generated/AI - School/ai_school_cube.jpg,,,,
human,library,school,Images/Human/Human - School/human_school_library_2016.jpg,,,,
AI,lockers,school,Images/AI Generated/AI - School/ai_school_lockers.jpg,,,,
human,pencil,school,Images/Human/Human - School/human_school_pencil_2016.jpg,,,,
ART,,,,,,,
AI,port,art,Images/AI Generated/AI - Art/ai_art_port.jpeg,,,,
AI,apple,art,Images/AI Generated/AI - Art/ai_art_apple.jpeg,,,,
human,tulip,art,Images/Human/Human - Art/human_tulip.jpeg,,,,
AI,cat,art,Images/AI Generated/AI - Art/ai_art_cat.jpeg,,,,
human,window,art,Images/Human/Human - Art/human_art_window.jpeg,,,,
human,vegetables,art,Images/Human/Human - Art/human_art_vegetables.jpeg,,,,
human,sunset,art,Images/Human/Human - Art/human_art_sunset.jpeg,,,,
AI,trees,art,Images/AI Generated/AI - Art/ai_art_trees.jpeg,,,,
human,stars,art,Images/Human/Human - Art/human_art_stars.jpeg,,,,
AI,onion,art,Images/AI Generated/AI - Art/ai_art_onion.jpeg,,,,
AI,green tree,art,Images/AI Generated/AI - Art/ai_art_greentree.jpeg,,,,
AI,strawberries,art,Images/AI Generated/AI - Art/ai_art_strawberries.jpeg,,,,
human,roses,art,Images/Human/Human - Art/human_art_roses.jpeg,,,,
AI,red sunset,art,Images/AI Generated/AI - Art/ai_art_redsun.jpeg,,,,
AI,flowers 2,art,Images/AI Generated/AI - Art/ai_art_flowers2.jpeg,,,,
human,eggs,art,Images/Human/Human - Art/human_art_eggs.jpeg,,,,
human,bees,art,Images/Human/Human - Art/human_art_bees.jpeg,,,,
human,cat2,art,Images/Human/Human - Art/human_art_cat2.jpeg,,,,
human,dog,art,Images/Human/Human - Art/human_art_dog.jpeg,,,,
AI,butterfly,art,Images/AI Generated/AI - Art/ai_art_butterfly.jpeg,,,,
FACES,,,,,,,
