"","source_key","item","story","stim"
"14","human","face","face","Images/Human/Human - Faces/2.R.SA.M.png"
"1","AI","face","face","Images/AI Generated/AI - Faces/1.S.B.F.png"
"13","AI","face","face","Images/AI Generated/AI - Faces/2.S.SA.F.png"
"27","human","face","face","Images/Human/Human - Faces/4.R.EA.F.png"
"30","AI","face","face","Images/AI Generated/AI - Faces/4.S.SA.M.png"
"16","AI","face","face","Images/AI Generated/AI - Faces/2.S.W.M.png"
"2","AI","face","face","Images/AI Generated/AI - Faces/1.S.B.M.png"
"22","human","face","face","Images/Human/Human - Faces/3.R.SA.M.png"
"21","AI","face","face","Images/AI Generated/AI - Faces/3.S.SA.F.png"
"3","AI","face","face","Images/AI Generated/AI - Faces/1.S.EA.F.png"
"17","human","face","face","Images/Human/Human - Faces/3.R.B.F.png"
"4","AI","face","face","Images/AI Generated/AI - Faces/1.S.EA.M.png"
"9","human","face","face","Images/Human/Human - Faces/2.R.B.F.png"
"5","human","face","face","Images/Human/Human - Faces/1.R.SA.F.png"
"19","human","face","face","Images/Human/Human - Faces/3.R.EA.F.png"
"8","AI","face","face","Images/AI Generated/AI - Faces/1.S.W.M.png"
"28","human","face","face","Images/Human/Human - Faces/4.R.EA.M.png"
"29","human","face","face","Images/Human/Human - Faces/4.R.SA.F.png"
"7","AI","face","face","Images/AI Generated/AI - Faces/1.S.W.F.png"
"23","human","face","face","Images/Human/Human - Faces/3.R.W.F.png"
"12","human","face","face","Images/Human/Human - Faces/2.R.EA.M.png"
"11","AI","face","face","Images/AI Generated/AI - Faces/2.S.EA.F.png"
"32","human","face","face","Images/Human/Human - Faces/4.R.W.M.png"
"26","human","face","face","Images/Human/Human - Faces/4.R.B.M.png"
"18","human","face","face","Images/Human/Human - Faces/3.R.B.M.png"
"10","AI","face","face","Images/AI Generated/AI - Faces/2.S.B.M.png"
"6","AI","face","face","Images/AI Generated/AI - Faces/1.S.SA.M.png"
"24","human","face","face","Images/Human/Human - Faces/3.R.W.M.png"
"20","AI","face","face","Images/AI Generated/AI - Faces/3.S.EA.M.png"
"15","human","face","face","Images/Human/Human - Faces/2.R.W.F.png"
"25","AI","face","face","Images/AI Generated/AI - Faces/4.S.B.F.png"
"31","human","face","face","Images/Human/Human - Faces/4.R.W.F.png"
